frame,track_id,class_name,confidence,x1,y1,x2,y2,pixel_speed_px_per_frame
63,4,truck,0.3021,1080,29,1167,143,0.354
64,1,bus,0.9152,1489,246,1867,905,3.132
64,2,car,0.6385,458,159,530,244,0.25
64,3,car,0.6491,489,132,552,178,0.354
64,6,car,0.4174,624,127,703,188,0.25
64,7,bus,0.6956,385,97,477,178,0.0
64,9,bus,0.3701,211,102,341,197,3.041
64,21,person,0.2838,1453,190,1482,267,0.559
64,5,bus,0.8514,0,310,544,1068,1.414
64,4,truck,0.292,1080,29,1166,143,0.354
65,1,bus,0.9134,1491,247,1871,909,3.4
65,2,car,0.6414,458,159,530,244,0.0
65,3,car,0.647,488,133,551,179,0.5
65,6,car,0.4281,624,127,703,189,0.559
65,7,bus,0.6553,386,96,478,177,0.25
65,9,bus,0.3272,209,103,341,198,2.512
65,21,person,0.3226,1453,190,1482,267,0.5
65,5,bus,0.8105,0,307,544,1068,1.458
65,4,truck,0.329,1080,29,1166,143,0.25
66,1,bus,0.929,1491,248,1873,915,3.26
66,2,car,0.6487,458,159,530,244,0.25
66,3,car,0.6389,488,133,551,179,0.5
66,6,car,0.4257,624,126,703,187,0.559
66,7,bus,0.7384,385,96,477,177,0.25
66,9,bus,0.3892,207,104,341,200,2.062
66,21,person,0.2779,1453,190,1482,265,0.354
66,5,bus,0.9197,0,306,545,1068,0.901
66,4,truck,0.3155,1080,29,1165,142,0.25
66,36,bus,0.4288,271,105,348,191,0.0
67,1,bus,0.931,1492,249,1876,920,3.354
67,2,car,0.6373,458,159,530,244,0.0
67,3,car,0.64,488,133,551,179,0.559
67,6,car,0.4204,624,126,703,187,0.559
67,7,bus,0.7166,386,96,478,177,0.354
67,21,person,0.2759,1454,190,1482,264,0.25
67,5,bus,0.8646,0,303,546,1066,1.677
67,4,truck,0.2927,1080,29,1166,143,0.0
67,36,bus,0.4955,272,106,347,189,1.0
68,1,bus,0.9135,1492,251,1878,926,3.691
68,2,car,0.6378,458,160,530,245,0.25
68,3,car,0.6408,488,132,551,178,0.25
68,6,car,0.4338,623,125,703,187,0.25
68,7,bus,0.7294,386,96,478,178,0.25
68,21,person,0.3463,1453,189,1482,265,0.25
68,5,bus,0.9359,0,301,547,1067,1.275
68,4,truck,0.2853,1080,29,1166,143,0.0
68,36,bus,0.5203,269,104,343,187,2.121
69,1,bus,0.909,1494,252,1881,931,3.579
69,2,car,0.6358,458,160,530,244,0.25
69,3,car,0.6485,488,132,551,178,0.25
69,6,car,0.4365,623,125,703,187,0.5
69,7,bus,0.7197,385,96,477,178,0.354
69,21,person,0.3869,1453,189,1482,267,0.0
69,5,bus,0.9155,0,300,546,1062,1.521
69,4,truck,0.2906,1080,30,1165,144,0.354
69,36,bus,0.4113,269,105,343,188,1.202
69,9,bus,0.4876,204,103,335,196,1.667
70,1,bus,0.9158,1495,253,1884,937,3.913
70,2,car,0.625,458,160,530,245,0.25
70,3,car,0.6508,488,132,551,178,0.25
70,6,car,0.4423,623,125,703,187,0.0
70,7,bus,0.726,386,96,478,178,0.354
70,21,person,0.394,1453,188,1483,266,0.25
70,5,bus,0.8854,2,298,543,1052,3.0
70,4,truck,0.3108,1080,29,1165,143,0.25
70,36,bus,0.347,274,104,341,179,1.82
